source_id,speaker,topic,year
Art6,Oskar Eustis,Why theater is essential to democracy,2018
Bus14,Chrystia Freeland,The rise of the new global super-rich,2013
Edu2,Reshma Saujani,Teach girls bravery not perfection,2016
Ent5,Tracy Chevalier,Finding the story inside the painting,2012
Med15,Sharon Terry,Science didn't understand my kids' rare disease until I decided to study it,2016
Phi3,Arthur Brooks,A conservative's plea: Let's work together,2016
Phi8,Ruth Chang,How to make hard choices,2014
Pol2,Benjamin Barber,Why mayors should rule the world,2013
Pol9,Karen Tse,How to stop torture,2011
Psy8,Matt Killingsworth,Want to be happier? Stay in the moment,2011
Tech10,Jennifer Wilcox,A new way to remove CO2 from the atmosphere,2018
Tech21,Andrew Blum,Discover the physical side of the internet,2012
