clip_id,label,source_id,appraisal,duration
Art6_S2,1,Art6,Appreciation,5
Art6_S6,0,Art6,None,1
Art6_S32,1,Art6,Affect,3
Art6_S36,1,Art6,Affect,10
Art6_S43,0,Art6,None,4
Art6_S88,1,Art6,Affect,14
Art6_S89,0,Art6,None,9
Art6_S90,0,Art6,None,12
Bus14_S2,1,Bus14,Judgement,8
Bus14_S5,1,Bus14,Judgement,6
Bus14_S17,1,Bus14,Judgement,5
Bus14_S18,1,Bus14,Judgement,17
Bus14_S28,0,Bus14,None,4
Bus14_S48,1,Bus14,Appreciation,8
Bus14_S65,0,Bus14,None,2
Bus14_S88,0,Bus14,None,2
Bus14_S98,1,Bus14,Affect,3
Bus14_S105,1,Bus14,Appreciation,7
Bus14_S106,1,Bus14,Judgement,1
Bus14_S107,1,Bus14,Judgement,1
Bus14_S108,1,Bus14,Judgement,1
Bus14_S109,1,Bus14,Judgement,1
Bus14_S110,1,Bus14,Judgement,1
Bus14_S111,1,Bus14,Appreciation,9
Bus14_S113,1,Bus14,Appreciation,3
Edu2_S32,1,Edu2,Judgement,4
Edu2_S34,1,Edu2,Appreciation,1
Edu2_S35,1,Edu2,Judgement,3
Edu2_S37,1,Edu2,Judgement,6
Edu2_S51,1,Edu2,Affect,7
Edu2_S54,0,Edu2,None,4
Edu2_S62,1,Edu2,Affect,7
Edu2_S63,1,Edu2,Affect,6
Edu2_S68,1,Edu2,Appreciation,13
Edu2_S72,1,Edu2,Judgement,8
Edu2_S77,1,Edu2,Judgement,4
Edu2_S78,1,Edu2,Judgement,17
Ent5_S3,1,Ent5,Appreciation,10
Ent5_S19,0,Ent5,None,1
Ent5_S24,0,Ent5,None,3
Ent5_S33,0,Ent5,None,1
Ent5_S35,1,Ent5,Judgement/Appreciation,17
Ent5_S36,1,Ent5,Appreciation,4
Ent5_S61,1,Ent5,Judgement,5
Ent5_S76,1,Ent5,Judgement,2
Ent5_S88,0,Ent5,None,1
Ent5_S149,1,Ent5,Affect,3
Ent5_S152,1,Ent5,Judgement,3
Ent5_S153,1,Ent5,Appreciation,7
Med15_S23,0,Med15,None,2
Med15_S24,0,Med15,None,2
Med15_S26,0,Med15,None,2
Med15_S34,1,Med15,Appreciation,9
Med15_S46,0,Med15,None,3
Med15_S51,0,Med15,None,7
Med15_S57,0,Med15,None,5
Med15_S68,1,Med15,Appreciation,2
Med15_S69,1,Med15,Appreciation,3
Med15_S70,0,Med15,None,2
Med15_S71,0,Med15,None,2
Med15_S72,0,Med15,None,3
Med15_S73,0,Med15,None,10
Med15_S81,0,Med15,None,9
Med15_S82,1,Med15,Appreciation,7
Med15_S98,1,Med15,Affect,17
Med15_S99,0,Med15,None,3
Phi3_S5,1,Phi3,Judgement,4
Phi3_S25,1,Phi3,Judgement,7
Phi3_S42,0,Phi3,None,1
Phi3_S85,0,Phi3,None,1
Phi3_S97,0,Phi3,None,1
Phi3_S108,0,Phi3,None,4
Phi3_S129,1,Phi3,Judgement,1
Phi3_S171,0,Phi3,None,1
Phi3_S177,1,Phi3,Appreciation,6
Pol2_S4,1,Pol2,Appreciation,9
Pol2_S9,0,Pol2,None,3
Pol2_S10,0,Pol2,None,14
Pol2_S20,1,Pol2,Appreciation,3
Pol2_S21,1,Pol2,Judgement,10
Pol2_S30,1,Pol2,Judgement,4
Pol2_S35,0,Pol2,None,12
Pol2_S42,1,Pol2,Affect/Judgement,18
Pol2_S43,1,Pol2,Judgement,4
Pol2_S49,0,Pol2,None,1
Pol2_S52,1,Pol2,Judgement,12
Pol2_S54,1,Pol2,Judgement,18
Pol2_S81,1,Pol2,Judgement,4
Pol2_S90,0,Pol2,None,5
Pol2_S91,0,Pol2,None,5
Pol2_S93,0,Pol2,None,3
Pol2_S125,1,Pol2,Judgement,11
Pol2_S126,0,Pol2,None,3
Pol9_S4,1,Pol9,Judgement,11
Pol9_S8,1,Pol9,Appreciation,5
Pol9_S15,0,Pol9,None,5
Pol9_S17,0,Pol9,None,6
Pol9_S42,0,Pol9,None,1
Pol9_S52,1,Pol9,Judgement,2
Pol9_S53,1,Pol9,Judgement,2
Pol9_S55,0,Pol9,None,1
Pol9_S65,1,Pol9,Appreciation,14
Pol9_S69,1,Pol9,Judgement,8
Pol9_S71,1,Pol9,Judgement,7
Pol9_S78,1,Pol9,Appreciation,1
Pol9_S84,1,Pol9,Affect,3
Pol9_S97,0,Pol9,None,6
Pol9_S101,1,Pol9,Judgement,1
Pol9_S104,1,Pol9,Judgement,5
Tech10_S2,0,Tech10,None,1
Tech10_S19,1,Tech10,Appreciation,4
Tech10_S53,1,Tech10,Judgement,5
Tech10_S54,1,Tech10,Judgement,3
Tech10_S57,0,Tech10,None,1
Tech10_S58,0,Tech10,None,9
Tech10_S59,1,Tech10,Appreciation,9
Tech10_S62,0,Tech10,None,2
Tech10_S65,1,Tech10,Appreciation,18
Tech10_S80,1,Tech10,Affect/Appreciation,8
Tech10_S84,1,Tech10,Judgement/Appreciation,9
Tech10_S85,1,Tech10,Affect,5
Tech10_S99,1,Tech10,Appreciation,2
Tech10_S113,1,Tech10,Appreciation,8
Tech10_S118,1,Tech10,Affect,14
Tech21_S3,0,Tech21,None,0
Tech21_S4,0,Tech21,None,0
Tech21_S5,0,Tech21,None,0
Tech21_S6,0,Tech21,None,2
Tech21_S16,1,Tech21,Judgement,3
Tech21_S29,0,Tech21,None,0
Tech21_S30,0,Tech21,None,3
Tech21_S32,0,Tech21,None,0
Tech21_S33,0,Tech21,None,2
Tech21_S105,1,Tech21,Affect/Judgement,1
Tech21_S106,1,Tech21,Affect,1
